year,avg_inflation,avg_interest
2000,7.440443514224492,6.740278900461895
2001,6.674372531376122,9.040538077020107
2002,4.451972828265503,9.093583037482157
2003,5.470334638638627,7.850316516171512
2004,4.73235736871401,5.146280197410135
2005,4.701898591191361,4.976722727164558
2006,5.00625424179768,4.188863209960144
2007,5.636281351774909,5.050523085509505
2008,9.920966421328915,2.441477233334044
2009,3.6246749648127805,10.7652691116218
2010,4.00842035641217,4.484825850064325
2011,6.2798994879980965,3.3494870808792028
2012,5.4637142654291,5.934366862027473
2013,4.20719522114705,6.9226579268218655
2014,3.6495334593435005,7.648680725502124
2015,3.7289767807164234,8.902395756276139
2016,6.184522508612667,7.053036709635884
2017,4.789437711787085,4.527919471940964
2018,4.167850443983467,5.8004515027774115
2019,4.94739226878726,6.4889280450240605
2020,6.894690039452013,7.246146495180534
2021,7.641019832814826,1.3641794131141884
2022,11.682244823541888,-0.8754303306746976
2023,9.469830344337694,4.395445249664707
2024,6.564804579652676,4.367721596580966
